factor,horizon,observations,coverage_rate,missing_rate,pearson_ic,spearman_ic,rolling_rank_ic_mean,rolling_rank_ic_std,icir,prediction_score,stability_score,monotonicity_score,non_redundancy_score,low_turnover_score,explainability_score,factor_score,suitable_for_model,overfit_risk
adx_14d,5,2013,0.9848336594911937,0.015166340508806275,0.07639173015447745,0.09367734513992121,0.10081246546046702,0.12473002651238747,0.8082453622380565,1.0,0.8333333333333333,0.8999999999999998,0.6608003097006794,0.8546610169491524,0.7,0.8562528148166836,True,low
amihud_illiquidity_20d,5,2019,0.9877690802348337,0.012230919765166326,0.07135123772510092,0.08777658291111526,0.1526749337596278,0.10793395122096763,1.4145218629777043,1.0,0.9444444444444444,0.8999999999999998,0.2193505740434094,0.9027219991075413,0.7,0.8170636749061543,True,low
downside_vol_5d,5,2035,0.9955968688845401,0.0044031311154598685,0.08611342457313344,0.09282182411224849,0.08247280533110207,0.05494351953709556,1.5010470029212435,1.0,0.9444444444444444,0.8999999999999998,0.2246159257232303,0.6942458290772897,0.9,0.8170058606551024,True,low
max_drawdown_5d,5,2035,0.9955968688845401,0.0044031311154598685,-0.07023600290568674,-0.0851203772457729,-0.0898204585946531,0.06630071414542081,-1.3547434556684443,1.0,0.8888888888888888,0.7,0.2246159257232303,0.6300988875154513,0.9,0.7694800553878074,True,low
downside_vol_10d,5,2030,0.9931506849315068,0.006849315068493178,0.06116925362074708,0.06748282620726541,0.05375288119196995,0.07956104379527457,0.6756180993588541,0.8435353275908176,0.9444444444444444,0.7,0.22712793211946913,0.8129496402877698,0.9,0.7523136410128315,True,low
dist_to_low_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.092904196608292,-0.05924344824387771,-0.1326699363807249,0.13310316871885064,-0.9967451388100247,0.7405431030484714,0.8888888888888888,0.7999999999999999,0.14458597090745184,0.8248752079866888,0.9,0.7141161251271056,True,medium
lower_shadow_pct,5,2039,0.9975538160469667,0.0024461839530333096,0.04513167866100218,0.05452430048979386,0.04305904605494439,0.07199366972525126,0.5980948911101519,0.6815537561224233,0.8333333333333333,0.9999999999999999,0.4926221407666521,0.3944015444015444,0.7,0.7044662690585458,True,low
atr_14d,5,2026,0.9911937377690803,0.008806262230919737,-0.05374953347253102,-0.05358374608088134,-0.0754170807347584,0.11370541896798485,-0.6632672516337415,0.6697968260110168,0.8333333333333333,0.7999999999999999,0.2193505740434094,0.9350529709811146,0.9,0.7040135976745946,True,low
vol_percentile_60d_252d,5,1728,0.8454011741682974,0.1545988258317026,-0.06476284657100799,-0.07424933219010324,-0.07286983889787829,0.10231664000836796,-0.7121992951676154,0.9281166523762905,0.875,0.3,0.25451424381216925,0.9139841688654354,0.7,0.6980105491712559,True,low
downside_vol_20d,5,2020,0.9882583170254403,0.011741682974559686,0.06198983096138363,0.059155510424709734,0.06677450009744615,0.13957083725678857,0.47842730909890213,0.7394438803088716,0.7562050868766799,0.7,0.17824745622350602,0.8861646234676007,0.9,0.6834277622482835,True,medium
volume_ratio_60d,5,1980,0.9686888454011742,0.03131115459882583,0.04698056021708883,0.059487726495554206,0.07793266876788141,0.09899925139136284,0.7872046270309537,0.7435965811944276,0.8888888888888888,0.7999999999999999,0.03012869613171787,0.5565217391304348,0.9,0.6710282304689071,True,medium
gap_risk_20d,5,2020,0.9882583170254403,0.011741682974559686,-0.043607107642794546,-0.056461479211500264,-0.13896869516965019,0.10387806700515423,-1.3378059409091125,0.7057684901437533,0.9444444444444444,0.3,0.38729421389274055,0.919164396003633,0.7,0.6656300076162892,True,low
ret_5d,5,2034,0.9951076320939335,0.004892367906066508,-0.06591833499840434,-0.06070621962536197,-0.08363772052894518,0.07596165758996319,-1.1010518093275024,0.7588277453170246,0.8888888888888888,0.7,0.0,0.5941690962099125,0.9,0.6598430109938763,True,medium
turnover_chg_5d,5,2034,0.9951076320939335,0.004892367906066508,-0.07235023217945627,-0.06535048720204463,-0.050915742606111224,0.10562755630293742,-0.48203086758995006,0.8168810900255579,0.8153642009232833,0.7,0.04281066649391796,0.4782914808730345,0.9,0.6573879152537151,True,medium
ma_gap_5d,5,2035,0.9955968688845401,0.0044031311154598685,-0.04847714163558495,-0.054350638898622836,-0.08007881756274753,0.0644332635392252,-1.2428179664374404,0.6793829862327855,0.8333333333333333,0.8999999999999998,0.05806344310784928,0.5316818774445893,0.9,0.6573592667471386,True,medium
momentum_accel_5_20,5,2019,0.9877690802348337,0.012230919765166326,-0.06680233720485555,-0.05985224078872602,-0.06593552820270553,0.10520182230750645,-0.6267527192635031,0.7481530098590753,0.8333333333333333,0.7,0.15596236575060352,0.5892805126711331,0.7,0.648434975754093,True,medium
