factor,year,ic,rank_ic,count
ret_1d,2018.0,0.06256241377289842,0.06445009073952726,242.0
ret_1d,2019.0,-0.06889076256777933,-0.07819758496723729,244.0
ret_1d,2020.0,-0.07199522315902694,-0.08001441806707578,243.0
ret_1d,2021.0,-0.04932398349142693,-0.03129155439140535,243.0
ret_1d,2022.0,-0.07674539000880423,-0.03878383144069049,242.0
ret_1d,2023.0,0.0017118248798691838,0.1019495427894774,242.0
ret_1d,2024.0,0.07745693671935663,0.030845390538729443,242.0
ret_1d,2025.0,-0.10005839844944144,-0.13306771975425724,243.0
ret_1d,2026.0,-0.08668802097425077,-0.05976488533557753,97.0
log_ret_1d,2018.0,0.061413342124468945,0.06445009073952726,242.0
log_ret_1d,2019.0,-0.07059299427008407,-0.07819758496723729,244.0
log_ret_1d,2020.0,-0.07103163282287321,-0.08001441806707578,243.0
log_ret_1d,2021.0,-0.04941821390130482,-0.03129155439140535,243.0
log_ret_1d,2022.0,-0.0784293754467248,-0.03878383144069049,242.0
log_ret_1d,2023.0,0.0031601526204106255,0.1019495427894774,242.0
log_ret_1d,2024.0,0.07985281726843864,0.030845390538729443,242.0
log_ret_1d,2025.0,-0.09957424648041681,-0.13306771975425724,243.0
log_ret_1d,2026.0,-0.08153459726099255,-0.05976488533557753,97.0
ret_3d,2018.0,0.07623838647685638,0.034165979986191884,240.0
ret_3d,2019.0,-0.06696651642386002,-0.10865767071856063,244.0
ret_3d,2020.0,-0.16575432386753416,-0.18231997069552955,243.0
ret_3d,2021.0,-0.0038654173555856836,0.030318920284146313,243.0
ret_3d,2022.0,-0.16084438260171344,-0.10803157100151947,242.0
ret_3d,2023.0,0.02848464671101036,0.09732980926241332,242.0
ret_3d,2024.0,-0.058707922164744276,-0.09888314785457965,242.0
ret_3d,2025.0,-0.10262941983819797,-0.16009741394738908,243.0
ret_3d,2026.0,-0.17133488890733345,-0.0745450241952451,97.0
log_ret_3d,2018.0,0.07573872683098326,0.034165979986191884,240.0
log_ret_3d,2019.0,-0.0744132757306198,-0.10865767071856063,244.0
log_ret_3d,2020.0,-0.15666316239272565,-0.18231997069552955,243.0
