date,y_ret_1d,y_up_1d,y_up_after_cost_1d,future_mdd_1d,future_vol_1d,future_mfe_1d,future_mae_1d,y_good_trade_1d,y_bad_trade_1d,y_trend_continue_1d,y_stop_loss_hit_1d,y_take_profit_before_stop_1d,y_large_drawdown_1d,y_high_vol_next_1d,y_risk_event_1d,y_limit_down_next_1d,y_untradable_next_1d,y_gap_down_next_1d,y_ret_3d,y_up_3d,y_up_after_cost_3d,future_mdd_3d,future_vol_3d,future_mfe_3d,future_mae_3d,y_good_trade_3d,y_bad_trade_3d,y_trend_continue_3d,y_stop_loss_hit_3d,y_take_profit_before_stop_3d,y_large_drawdown_3d,y_high_vol_next_3d,y_risk_event_3d,y_limit_down_next_3d,y_untradable_next_3d,y_gap_down_next_3d,y_ret_5d,y_up_5d,y_up_after_cost_5d,future_mdd_5d,future_vol_5d,future_mfe_5d,future_mae_5d,y_good_trade_5d,y_bad_trade_5d,y_trend_continue_5d,y_stop_loss_hit_5d,y_take_profit_before_stop_5d,y_large_drawdown_5d,y_high_vol_next_5d,y_risk_event_5d,y_limit_down_next_5d,y_untradable_next_5d,y_gap_down_next_5d,y_ret_10d,y_up_10d,y_up_after_cost_10d,future_mdd_10d,future_vol_10d,future_mfe_10d,future_mae_10d,y_good_trade_10d,y_bad_trade_10d,y_trend_continue_10d,y_stop_loss_hit_10d,y_take_profit_before_stop_10d,y_large_drawdown_10d,y_high_vol_next_10d,y_risk_event_10d,y_limit_down_next_10d,y_untradable_next_10d,y_gap_down_next_10d,y_ret_20d,y_up_20d,y_up_after_cost_20d,future_mdd_20d,future_vol_20d,future_mfe_20d,future_mae_20d,y_good_trade_20d,y_bad_trade_20d,y_trend_continue_20d,y_stop_loss_hit_20d,y_take_profit_before_stop_20d,y_large_drawdown_20d,y_high_vol_next_20d,y_risk_event_20d,y_limit_down_next_20d,y_untradable_next_20d,y_gap_down_next_20d,y_ret_60d,y_up_60d,y_up_after_cost_60d,future_mdd_60d,future_vol_60d,future_mfe_60d,future_mae_60d,y_good_trade_60d,y_bad_trade_60d,y_trend_continue_60d,y_stop_loss_hit_60d,y_take_profit_before_stop_60d,y_large_drawdown_60d,y_high_vol_next_60d,y_risk_event_60d,y_limit_down_next_60d,y_untradable_next_60d,y_gap_down_next_60d,y_crash_5d,y_crash_20d
2018-01-02,-0.002135992268149311,0.0,0.0,-0.002133712660028486,0.0,-0.002133712660028486,-0.002133712660028486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07607949524576521,0.0,0.0,-0.07325746799431021,0.034364908926695095,-0.002133712660028486,-0.07325746799431021,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.08533168152396775,0.0,0.0,-0.08179231863442393,0.028495359657723117,-0.002133712660028486,-0.08179231863442393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.15261085127307877,0.0,0.0,-0.14153627311522055,0.027000690339293,-0.002133712660028486,-0.14153627311522055,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.21323547308951366,0.0,0.0,-0.19203413940256053,0.03894773004150492,-0.002133712660028486,-0.19203413940256053,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09879562837255379,1.0,1.0,-0.36130867709815073,0.042837037594333785,0.1351351351351351,-0.36130867709815073,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07778818283842551,0.0,0.0,-0.07483962936564492,0.03398736398884816,0.0,-0.07483962936564492,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.14551617115841067,0.0,0.0,-0.13542409123307186,0.032126361674915845,0.0,-0.13542409123307186,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.09488261619772574,0.0,0.0,-0.13970064148253736,0.03435846895937927,0.0,-0.13970064148253736,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.21198015018695793,0.0,0.0,-0.19101924447612262,0.038962427907409704,0.0,-0.19101924447612262,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08272565614413079,1.0,1.0,-0.3599429793300071,0.04291002591439965,0.13756236635780472,-0.3599429793300071,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2018-01-04,-0.07394350297761587,0.0,0.0,-0.07127583749109057,0.0,-0.07127583749109057,-0.07127583749109057,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.08319568925581838,0.0,0.0,-0.07982893799002133,0.03268276857188431,-0.07127583749109057,-0.07982893799002133,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.13894260599175615,0.0,0.0,-0.13542409123307186,0.03339972752314745,-0.07127583749109057,-0.13542409123307186,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.09097177820572663,0.0,0.0,-0.13970064148253736,0.03448626275604136,-0.07127583749109057,-0.13970064148253736,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.2533529571695004,0.0,0.0,-0.22380612972202418,0.03944015598647806,-0.02066999287241622,-0.22380612972202418,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06951542440732414,1.0,1.0,-0.3599429793300071,0.04295040718864792,0.13756236635780472,-0.3599429793300071,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2018-01-05,-0.003844679860809721,0.0,0.0,-0.0038372985418264616,0.0,-0.0038372985418264616,-0.0038372985418264616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07157266818079487,0.0,0.0,-0.06907137375287786,0.027204878299988428,-0.0038372985418264616,-0.06907137375287786,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.06499910301414033,0.0,0.0,-0.06907137375287786,0.025004400548420642,-0.0038372985418264616,-0.06907137375287786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012355369528718425,0.0,0.0,-0.07367613200306977,0.02694353082139394,-0.0038372985418264616,-0.07367613200306977,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.1794094541918845,0.0,0.0,-0.20742358078602618,0.03690723159816296,0.05448963929393713,-0.1642363775901764,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.14012892097775256,1.0,1.0,-0.346433770014556,0.04182920975013483,0.2248656945510361,-0.3108211818879508,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-08,-0.00540750641739282,0.0,0.0,-0.005392912172573205,0.0,-0.005392912172573205,-0.005392912172573205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06115442315333058,0.0,0.0,-0.06548536209553157,0.030053697455019505,-0.005392912172573205,-0.06548536209553157,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.059517761576862976,0.0,0.0,-0.06548536209553157,0.025497063445493347,-0.005392912172573205,-0.06548536209553157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333642026759171,1.0,1.0,-0.07010785824345145,0.02983298745005127,0.03389830508474567,-0.07010785824345145,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.16460576054135537,0.0,0.0,-0.20742358078602618,0.03715025443877976,0.05855161787365182,-0.1610169491525424,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.14197026127038728,1.0,1.0,-0.346433770014556,0.04182533956073756,0.22958397534668729,-0.30816640986132515,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-09,-0.062320481902592345,0.0,0.0,-0.060418280402788516,0.0,-0.060418280402788516,-0.060418280402788516,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05574691673593779,0.0,0.0,-0.060418280402788516,0.031043775445420467,-0.0542215336948102,-0.060418280402788516,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.06727916974911101,0.0,0.0,-0.06506584043377228,0.02528974440254705,-0.052672347017815646,-0.06506584043377228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033514179987707275,1.0,1.0,-0.06506584043377228,0.029827826257395308,0.039504260263361735,-0.06506584043377228,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.28897389539334817,0.0,0.0,-0.29621542940320233,0.04560414523252094,0.064291247095275,-0.2509682416731216,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.15801616589283582,1.0,1.0,-0.346433770014556,0.04182607843990601,0.23625096824167313,-0.3044151820294345,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-10,0.0065735651666546605,1.0,1.0,0.0,0.0,0.0065952184666118185,0.0065952184666118185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008210226743122143,1.0,1.0,0.0,0.0027941096211483297,0.008244023083264551,0.0065952184666118185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050633554960684946,1.0,1.0,-0.013082583810302584,0.023651878632908418,0.05193734542456707,-0.004946413849958864,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12462956383824444,1.0,1.0,-0.013082583810302584,0.020979426383501917,0.13272877164056052,-0.004946413849958864,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3006818406418505,0.0,0.0,-0.346433770014556,0.046284956495616675,0.13272877164056052,-0.2596867271228359,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.2249555936517226,1.0,1.0,-0.346433770014556,0.04096247821320957,0.3157460840890354,-0.2596867271228359,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011532253013173274,0.0,0.0,-0.013082583810302584,0.006627418285640528,0.0016380016380015405,-0.01146601146601156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04797082778602953,1.0,1.0,-0.013082583810302584,0.023755635217878386,0.0491400491400491,-0.01146601146601156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09299941883425235,1.0,1.0,-0.024745269286754024,0.02382088868168571,0.12530712530712518,-0.01146601146601156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.2373720623125791,0.0,0.0,-0.346433770014556,0.04969387163496828,0.12530712530712518,-0.26453726453726456,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.25648802729511483,1.0,1.0,-0.346433770014556,0.04119694861634418,0.30712530712530706,-0.26453726453726456,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-12,0.001636661576467578,1.0,0.0,0.0,0.0,0.0016380016380015405,0.0016380016380015405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044059989794030495,1.0,1.0,-0.013082583810302584,0.029549406081849965,0.04504504504504503,-0.01146601146601156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05264373348542188,1.0,1.0,-0.013082583810302584,0.02344975308756357,0.054054054054053946,-0.01146601146601156,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08023169000425093,1.0,1.0,-0.037117903930131035,0.02461409973487984,0.12530712530712518,-0.01146601146601156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.2373720623125791,0.0,0.0,-0.346433770014556,0.04969387163496828,0.12530712530712518,-0.26453726453726456,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21177698465714417,1.0,1.0,-0.346433770014556,0.04166920034967695,0.30712530712530706,-0.26453726453726456,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018-01-15,-0.013168914589640904,0.0,0.0,-0.013082583810302584,0.0,-0.013082583810302584,-0.013082583810302584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046334166209561795,1.0,1.0,-0.013082583810302584,0.02923236851025993,0.04742436631234659,-0.013082583810302584,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928541818444547,1.0,1.0,-0.013082583810302584,0.025798640530201096,0.09730171708912505,-0.013082583810302584,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04687050340061644,0.0,0.0,-0.1506550218340612,0.04713967338945459,0.12346688470973022,-0.04578904333605893,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.18543350754874516,0.0,0.0,-0.346433770014556,0.051650381517701856,0.12346688470973022,-0.2657399836467702,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3018897398964641,1.0,1.0,-0.346433770014556,0.04317081322968505,0.3524121013900243,-0.2657399836467702,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
