portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,strategy_name,kind,fast,slow,window,risk_filter,buy_hold_total_return,beats_buy_hold
strategy,4.499420190694205,0.2338772221109222,0.4363613433580147,0.535971450429413,0.6696312806608588,0.6664989356619105,-0.3509041194171677,0.4315068493150685,1.5684073832538272,274.0,7.569343065693431,274.0,-0.16675690308608548,11.0,-0.4890736608119731,2.1879447808581234,momentum_10_gap_risk,momentum,,,10.0,gap_risk,2.3114754098360817,True
strategy,3.257532779399919,0.19554912159454663,0.44043945404799983,0.4439863863177783,0.5537668363752879,0.5572722312845542,-0.3509041194171676,0.42772612003381233,1.56196672692646,282.0,7.432624113475177,282.0,-0.16675690308608548,11.0,-0.5928970329926904,0.9460573695638375,momentum_10_limit_tradable,momentum,,,10.0,limit_tradable,2.3114754098360817,True
strategy,4.329790651744852,0.22912033017429612,0.42294503825626784,0.5417260150844213,0.6579598599636869,0.5293202538510712,-0.43285766699333805,0.4831144465290807,1.2665376415743388,81.0,25.170731707317074,81.0,-0.16675690308608548,7.0,-0.5526596466006368,2.01831524190877,ma_10_120_gap_risk,ma,10.0,120.0,,gap_risk,2.3114754098360817,True
strategy,2.9302301709909404,0.18381655527655094,0.44175295524161723,0.4161071320417365,0.5174402293053219,0.5238369831105435,-0.3509041194171676,0.4282094594594595,1.5495811775015216,278.0,7.561151079136691,278.0,-0.16675690308608548,11.0,-0.6207488622472155,0.6187547611548587,momentum_10_none,momentum,,,10.0,none,2.3114754098360817,True
strategy,3.4415908979766163,0.20180365480449614,0.4249161572819008,0.47492582088521096,0.5814294631215325,0.466212499379392,-0.43285766699333683,0.4795158286778399,1.2670708577675112,85.0,24.13953488372093,85.0,-0.16675690308608548,9.0,-0.6222433037300795,1.1301154881405346,ma_10_120_limit_tradable,ma,10.0,120.0,,limit_tradable,2.3114754098360817,True
strategy,3.058477344717206,0.18851227929503378,0.42608696547979913,0.44242676863573566,0.5393874093495299,0.4355063885190132,-0.43285766699333683,0.4795158286778399,1.258875663260063,83.0,24.738095238095237,83.0,-0.16675690308608548,9.0,-0.6521379263945934,0.7470019348811241,ma_10_120_none,ma,10.0,120.0,,none,2.3114754098360817,True
strategy,4.875428820968477,0.24397913928988624,0.43641643065616137,0.5590512229868578,0.7112912338494752,0.4300911586883767,-0.5672730870216789,0.47705627705627707,1.2935155169417967,83.0,26.714285714285715,83.0,-0.16675690308608548,9.0,-0.45790148335647207,2.563953411132395,ma_10_180_gap_risk,ma,10.0,180.0,,gap_risk,2.3114754098360817,True
strategy,3.919744810806228,0.21704878985007725,0.4095580195902498,0.5299585882049823,0.6282943160321918,0.41290866388823444,-0.5256581148145337,0.4839622641509434,1.256466574956055,75.0,27.105263157894736,75.0,-0.16675690308608548,9.0,-0.6233882494130829,1.6082694009701464,ma_60_120_gap_risk,ma,60.0,120.0,,gap_risk,2.3114754098360817,True
strategy,2.7592786801405453,0.17734378939186746,0.4191083829704306,0.4231454120171574,0.5056391166922956,0.410887395150561,-0.43161165683090275,0.4727626459143969,1.2925639169665257,101.0,19.294117647058822,101.0,-0.16675690308608548,9.0,-0.6928302967504574,0.44780327030446365,ma_10_120_close_gt_ma120,ma,10.0,120.0,,close_gt_ma120,2.3114754098360817,True
strategy,3.517872678081666,0.20432939358945035,0.4182642745722931,0.4885174422281048,0.5849326800204533,0.3999545435568082,-0.5108815411180048,0.48405797101449277,1.2497563740738347,73.0,27.18918918918919,73.0,-0.16675690308608548,9.0,-0.6329162976673814,1.2063972682455844,ma_30_120_gap_risk,ma,30.0,120.0,,gap_risk,2.3114754098360817,True
strategy,4.722902943122303,0.23995167399183925,0.4323405992495289,0.5550061095542619,0.6945559740841237,0.39945771839171956,-0.6006935476373393,0.4794759825327511,1.280149156517957,81.0,27.121951219512194,81.0,-0.16675690308608548,11.0,-0.48699435316197504,2.4114275332862216,ma_20_180_gap_risk,ma,20.0,180.0,,gap_risk,2.3114754098360817,True
strategy,3.668339314260555,0.2092037234228148,0.42189600887552065,0.4958656138521088,0.6007524702121116,0.39268452639709217,-0.532752653490764,0.48269410664172124,1.2562377235202502,75.0,27.31578947368421,75.0,-0.16675690308608548,10.0,-0.6110648268186258,1.3568639044244732,ma_20_120_gap_risk,ma,20.0,120.0,,gap_risk,2.3114754098360817,True
strategy,2.830307477604812,0.18006387889687647,0.346440395399844,0.5197542817980445,0.5739268128135613,0.38530625170213895,-0.46732664757299314,0.4784688995215311,1.3003719670562532,86.0,18.53488372093023,86.0,-0.11015806886410973,9.0,-0.801085076194657,0.5188320677687304,ma_30_120_vol_pct_lt_80,ma,30.0,120.0,,vol_pct_lt_80,2.3114754098360817,True
strategy,3.896299475548755,0.21633223322173345,0.4383304607222538,0.4935368462991931,0.6324971870708441,0.38135465646278055,-0.5672730870216791,0.47377472055030095,1.2938148057208263,87.0,25.636363636363637,87.0,-0.16675690308608548,9.0,-0.5422247442155868,1.5848240657126733,ma_10_180_limit_tradable,ma,10.0,180.0,,limit_tradable,2.3114754098360817,True
strategy,3.218872394585831,0.1942053348282924,0.42397074238593635,0.4580630581614738,0.5577528659221711,0.3773814837287511,-0.5146127809701457,0.47641073080481033,1.2787132755373223,91.0,22.652173913043477,91.0,-0.16675690308608548,8.0,-0.6436470318071904,0.9073969847497492,ma_5_120_gap_risk,ma,5.0,120.0,,gap_risk,2.3114754098360817,True
strategy,3.451292425329873,0.20212697979175265,0.4139666194715455,0.48826878855541656,0.5878023564788717,0.3740928557378878,-0.5403123227067856,0.48333333333333334,1.242063332722158,75.0,29.210526315789473,75.0,-0.16675690308608548,9.0,-0.6491224919605043,1.1398170154937914,ma_60_180_gap_risk,ma,60.0,180.0,,gap_risk,2.3114754098360817,True
