split,horizon,train_start,train_end,test_start,test_end,train_rows,test_rows,selected_feature_count,selected_features,top_train_feature,sklearn_available,sklearn_error
1,1,2018-01-02,2021-01-11,2021-02-09,2021-05-19,736,63,40,"dist_to_low_60d,log_ret_60d,dist_to_low_120d,ma_slope_60d,intraday_strength,ma_gap_120d,ma_gap_60d,rsi_6d,log_ret_1d,kdj_k,dist_to_low_20d,ma_slope_5d,kdj_j,volatility_60d,macd_dea,max_drawdown_10d,downside_vol_20d,ret_5d,dist_to_high_20d,close_zscore_20d",dist_to_low_60d,False,disabled
1,3,2018-01-02,2021-01-11,2021-02-09,2021-05-19,736,63,40,"dist_to_low_60d,dist_to_low_120d,ret_60d,ma_slope_60d,ma_slope_5d,volatility_60d,kdj_k,ma_gap_120d,kdj_j,ma_gap_60d,downside_vol_20d,rsi_6d,adx_14d,max_drawdown_10d,volatility_20d,downside_vol_10d,volatility_10d,log_ret_5d,downside_vol_5d,macd_dea",dist_to_low_60d,False,disabled
1,5,2018-01-02,2021-01-11,2021-02-09,2021-05-19,736,63,40,"dist_to_low_60d,dist_to_low_120d,ma_slope_60d,log_ret_60d,volatility_60d,adx_14d,max_drawdown_5d,kdj_j,log_ret_5d,downside_vol_5d,kdj_k,ma_gap_120d,ma_gap_60d,downside_vol_10d,ma_slope_20d,ma_gap_5d,volatility_5d,volatility_10d,rsi_6d,ma_slope_5d",dist_to_low_60d,False,disabled
1,10,2018-01-02,2021-01-11,2021-02-09,2021-05-19,736,63,40,"dist_to_low_60d,volatility_60d,adx_14d,ma_slope_60d,ret_60d,dist_to_low_120d,ma_slope_20d,macd_hist,ma_gap_60d,volume_ratio_60d,ma_gap_120d,turnover_ratio_20d,volatility_5d,downside_vol_10d,volatility_10d,ma_slope_120d,downside_vol_5d,downside_vol_60d,dist_to_high_120d,price_volume_divergence_20d",dist_to_low_60d,False,disabled
1,20,2018-01-02,2021-01-11,2021-02-09,2021-05-19,736,63,40,"dist_to_low_60d,volatility_60d,ma_slope_20d,ret_60d,dist_to_low_120d,adx_14d,ma_slope_60d,ma_gap_60d,log_ret_20d,ma_gap_120d,downside_vol_60d,turnover_ratio_20d,atr_pct_14d,ma_slope_10d,volatility_20d,ma_slope_120d,price_volume_divergence_20d,dist_to_low_20d,atr_14d,ma_gap_20d",dist_to_low_60d,False,disabled
2,1,2018-01-02,2021-04-16,2021-05-20,2021-08-17,799,63,40,"dist_to_low_60d,ret_60d,dist_to_low_120d,ma_slope_60d,ma_gap_120d,ma_gap_60d,rsi_6d,macd_dea,intraday_strength,ma_slope_5d,kdj_k,volatility_60d,kdj_j,log_ret_1d,downside_vol_20d,dist_to_low_20d,ma_slope_120d,max_drawdown_10d,log_ret_5d,intraday_range",dist_to_low_60d,False,disabled
2,3,2018-01-02,2021-04-16,2021-05-20,2021-08-17,799,63,40,"dist_to_low_60d,dist_to_low_120d,ma_slope_60d,ret_60d,ma_slope_5d,ma_gap_120d,volatility_60d,ma_gap_60d,kdj_k,macd_dea,downside_vol_20d,ma_slope_120d,kdj_j,volatility_10d,volatility_20d,rsi_6d,downside_vol_10d,downside_vol_5d,log_ret_5d,max_drawdown_10d",dist_to_low_60d,False,disabled
2,5,2018-01-02,2021-04-16,2021-05-20,2021-08-17,799,63,40,"dist_to_low_60d,ma_slope_60d,ret_60d,dist_to_low_120d,volatility_60d,ma_slope_120d,max_drawdown_5d,ma_gap_120d,ma_slope_20d,downside_vol_5d,kdj_j,ma_gap_60d,adx_14d,log_ret_5d,volatility_5d,volatility_10d,kdj_k,downside_vol_10d,macd_hist,downside_vol_20d",dist_to_low_60d,False,disabled
2,10,2018-01-02,2021-04-16,2021-05-20,2021-08-17,799,63,40,"dist_to_low_60d,ma_slope_60d,log_ret_60d,dist_to_low_120d,volatility_60d,ma_slope_20d,macd_hist,adx_14d,ma_slope_120d,ma_gap_60d,ma_gap_120d,turnover_ratio_20d,volume_ratio_60d,volatility_5d,volatility_10d,downside_vol_10d,atr_14d,log_ret_10d,high_low_range_20d,max_drawdown_60d",dist_to_low_60d,False,disabled
2,20,2018-01-02,2021-04-16,2021-05-20,2021-08-17,799,63,40,"dist_to_low_60d,volatility_60d,ma_slope_20d,log_ret_60d,dist_to_low_120d,ma_slope_60d,ma_gap_60d,ma_gap_120d,ret_20d,ma_slope_120d,adx_14d,atr_pct_14d,turnover_ratio_20d,atr_14d,volatility_20d,macd_hist,ma_slope_10d,dist_to_low_20d,price_volume_divergence_20d,downside_vol_60d",dist_to_low_60d,False,disabled
