split,horizon,test_start,test_end,observations,spearman_ic,direction_accuracy,prob_accuracy
1,1,2021-02-09,2021-05-19,63,0.32378072196620583,0.6031746031746031,0.5714285714285714
1,3,2021-02-09,2021-05-19,63,0.6419930875576036,0.7301587301587301,0.7619047619047619
1,5,2021-02-09,2021-05-19,63,0.7396313364055299,0.7301587301587301,0.7301587301587301
1,10,2021-02-09,2021-05-19,63,0.6970046082949309,0.7619047619047619,0.7142857142857143
1,20,2021-02-09,2021-05-19,63,0.5721966205837175,0.9047619047619048,0.9047619047619048
1,60,2021-02-09,2021-05-19,63,-0.3784082181259601,0.5873015873015873,0.9682539682539683
2,1,2021-05-20,2021-08-17,63,0.09874231950844856,0.5714285714285714,0.5396825396825397
2,3,2021-05-20,2021-08-17,63,0.09130184331797236,0.5238095238095238,0.42857142857142855
2,5,2021-05-20,2021-08-17,63,0.10464669738863289,0.5396825396825397,0.6349206349206349
2,10,2021-05-20,2021-08-17,63,0.0212173579109063,0.4603174603174603,0.49206349206349204
2,20,2021-05-20,2021-08-17,63,-0.04603494623655914,0.36507936507936506,0.49206349206349204
2,60,2021-05-20,2021-08-17,63,0.7861943164362519,0.3333333333333333,0.2698412698412698
3,1,2021-08-18,2021-11-23,63,-0.15860215053763443,0.47619047619047616,0.4126984126984127
3,3,2021-08-18,2021-11-23,63,0.04416282642089094,0.4603174603174603,0.4444444444444444
3,5,2021-08-18,2021-11-23,63,-0.2512480798771121,0.47619047619047616,0.5555555555555556
3,10,2021-08-18,2021-11-23,63,-0.26276881720430106,0.5238095238095238,0.5238095238095238
3,20,2021-08-18,2021-11-23,63,-0.5714285714285715,0.5396825396825397,0.5238095238095238
3,60,2021-08-18,2021-11-23,63,-0.3269489247311828,0.47619047619047616,0.4603174603174603
4,1,2021-11-24,2022-02-28,63,0.22422235023041476,0.5396825396825397,0.47619047619047616
4,3,2021-11-24,2022-02-28,63,0.2780337941628264,0.4603174603174603,0.4603174603174603
4,5,2021-11-24,2022-02-28,63,0.533410138248848,0.47619047619047616,0.4444444444444444
4,10,2021-11-24,2022-02-28,63,0.6746351766513057,0.4444444444444444,0.42857142857142855
4,20,2021-11-24,2022-02-28,63,0.7264304915514592,0.5079365079365079,0.4126984126984127
4,60,2021-11-24,2022-02-28,63,0.23843125960061443,0.6507936507936508,0.047619047619047616
5,1,2022-03-01,2022-06-02,63,0.17228302611367127,0.4444444444444444,0.4603174603174603
5,3,2022-03-01,2022-06-02,63,0.3977054531490015,0.47619047619047616,0.47619047619047616
5,5,2022-03-01,2022-06-02,63,0.46370967741935487,0.49206349206349204,0.49206349206349204
5,10,2022-03-01,2022-06-02,63,0.41570660522273434,0.49206349206349204,0.49206349206349204
5,20,2022-03-01,2022-06-02,63,0.6001344086021505,0.5396825396825397,0.5396825396825397
5,60,2022-03-01,2022-06-02,63,0.2054051459293395,0.9365079365079365,0.20634920634920634
6,1,2022-06-06,2022-08-31,63,-0.06816436251920123,0.4603174603174603,0.5396825396825397
6,3,2022-06-06,2022-08-31,63,-0.08122119815668204,0.5714285714285714,0.5238095238095238
6,5,2022-06-06,2022-08-31,63,-0.11208717357910905,0.5873015873015873,0.5238095238095238
6,10,2022-06-06,2022-08-31,63,-0.30664362519201227,0.7619047619047619,0.7619047619047619
6,20,2022-06-06,2022-08-31,63,-0.48415898617511527,0.8095238095238095,0.8095238095238095
6,60,2022-06-06,2022-08-31,63,-0.08222926267281105,0.6507936507936508,0.6507936507936508
7,1,2022-09-01,2022-12-06,63,-0.054771505376344086,0.42857142857142855,0.42857142857142855
7,3,2022-09-01,2022-12-06,63,0.06710829493087558,0.4603174603174603,0.4603174603174603
7,5,2022-09-01,2022-12-06,63,-0.017473118279569894,0.4126984126984127,0.4126984126984127
7,10,2022-09-01,2022-12-06,63,-0.19388440860215053,0.3968253968253968,0.3968253968253968
7,20,2022-09-01,2022-12-06,63,0.32819700460829493,0.30158730158730157,0.30158730158730157
7,60,2022-09-01,2022-12-06,63,-0.42127496159754224,0.1111111111111111,0.12698412698412698
8,1,2022-12-07,2023-03-13,63,0.019489247311827957,0.49206349206349204,0.5555555555555556
8,3,2022-12-07,2023-03-13,63,-0.12634408602150538,0.4444444444444444,0.47619047619047616
8,5,2022-12-07,2023-03-13,63,0.058083717357910916,0.4603174603174603,0.47619047619047616
8,10,2022-12-07,2023-03-13,63,-0.04574692780337942,0.4126984126984127,0.4126984126984127
8,20,2022-12-07,2023-03-13,63,0.0464189708141321,0.49206349206349204,0.49206349206349204
8,60,2022-12-07,2023-03-13,63,-0.18202764976958524,0.5555555555555556,0.5079365079365079
9,1,2023-03-14,2023-06-14,63,-0.1569220430107527,0.49206349206349204,0.3968253968253968
9,3,2023-03-14,2023-06-14,63,-0.006816436251920123,0.4126984126984127,0.4603174603174603
9,5,2023-03-14,2023-06-14,63,-0.08669354838709678,0.47619047619047616,0.42857142857142855
9,10,2023-03-14,2023-06-14,63,0.19263632872503839,0.5396825396825397,0.5714285714285714
9,20,2023-03-14,2023-06-14,63,0.3108678955453149,0.6349206349206349,0.6349206349206349
9,60,2023-03-14,2023-06-14,63,-0.7779857910906298,0.2222222222222222,0.2222222222222222
10,1,2023-06-15,2023-09-13,63,-0.07838901689708143,0.3333333333333333,0.38095238095238093
10,3,2023-06-15,2023-09-13,63,-0.009504608294930876,0.23809523809523808,0.23809523809523808
10,5,2023-06-15,2023-09-13,63,-0.13906490015360984,0.20634920634920634,0.20634920634920634
10,10,2023-06-15,2023-09-13,63,0.26732910906298,0.15873015873015872,0.15873015873015872
10,20,2023-06-15,2023-09-13,63,0.19786866359447006,0.0,0.0
10,60,2023-06-15,2023-09-13,63,-0.41570660522273434,0.3492063492063492,0.4126984126984127
11,1,2023-09-14,2023-12-19,63,-0.029473886328725035,0.3492063492063492,0.3968253968253968
11,3,2023-09-14,2023-12-19,63,0.08414938556067589,0.3968253968253968,0.4126984126984127
11,5,2023-09-14,2023-12-19,63,0.10882296466973887,0.4444444444444444,0.3968253968253968
11,10,2023-09-14,2023-12-19,63,0.1895641321044547,0.5396825396825397,0.5714285714285714
11,20,2023-09-14,2023-12-19,63,0.1678667434715822,0.49206349206349204,0.6666666666666666
11,60,2023-09-14,2023-12-19,63,0.3762000768049156,1.0,1.0
12,1,2023-12-20,2024-03-26,63,-0.03662634408602151,0.4126984126984127,0.5238095238095238
12,3,2023-12-20,2024-03-26,63,0.20338901689708144,0.4444444444444444,0.6031746031746031
12,5,2023-12-20,2024-03-26,63,0.26300883256528423,0.4603174603174603,0.5238095238095238
12,10,2023-12-20,2024-03-26,63,0.5772849462365592,0.6825396825396826,0.7936507936507936
12,20,2023-12-20,2024-03-26,63,0.40961021505376344,0.6190476190476191,0.7936507936507936
