date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-02,13.92,14.06,14.48,13.78,182350,391526384.0,5.11,2.7,0.37,1.98
2018-01-03,14.03,14.03,14.18,13.67,172865,367304208.0,3.63,-0.21,-0.03,1.88
2018-01-04,14.0,14.03,14.46,13.76,183848,393486928.0,4.99,0.0,0.0,2.0
2018-01-05,13.96,13.03,14.0,12.78,368244,750136080.0,8.7,-7.13,-1.0,4.0
2018-01-08,12.9,12.98,13.09,12.46,195320,385052640.0,4.83,-0.38,-0.05,2.12
2018-01-09,12.92,12.91,13.16,12.6,161145,319527888.0,4.31,-0.54,-0.07,1.75
2018-01-10,12.74,12.13,12.95,11.84,323221,615944528.0,8.6,-6.04,-0.78,3.51
2018-01-11,12.07,12.21,12.53,11.78,177908,337389264.0,6.18,0.66,0.08,1.93
2018-01-12,12.53,12.21,12.53,11.96,145288,276922320.0,4.67,0.0,0.0,1.58
2018-01-15,12.29,12.23,12.61,11.75,183445,349314048.0,7.04,0.16,0.02,1.99
2018-01-16,12.23,12.07,12.44,11.86,157089,296737648.0,4.74,-1.31,-0.16,1.71
2018-01-17,12.29,12.76,13.15,11.8,268530,523533536.0,11.18,5.72,0.69,2.92
2018-01-18,12.68,12.81,13.07,12.52,162558,320948672.0,4.31,0.39,0.05,1.77
2018-01-19,12.83,12.87,13.19,12.65,169820,338474064.0,4.22,0.47,0.06,1.84
2018-01-22,12.92,13.42,13.66,12.65,272357,554720416.0,7.85,4.27,0.55,2.96
2018-01-23,13.31,13.35,13.59,13.19,140541,287935808.0,2.98,-0.52,-0.07,1.53
2018-01-24,13.29,13.74,13.9,12.92,256442,528906912.0,7.34,2.92,0.39,2.78
2018-01-25,13.65,13.4,13.79,13.39,149607,311426832.0,2.91,-2.47,-0.34,1.62
2018-01-26,13.3,13.23,13.86,13.16,150357,311613040.0,5.22,-1.27,-0.17,1.63
2018-01-29,13.18,11.67,13.38,11.67,413895,774921712.0,12.93,-11.79,-1.56,4.49
2018-01-30,11.52,11.36,11.68,11.13,232989,417222080.0,4.71,-2.66,-0.31,2.53
