feature,selection_count,avg_rank
amihud_illiquidity_20d,92,5.326086956521739
adx_14d,92,7.1521739130434785
vol_percentile_60d_252d,89,9.303370786516854
dist_to_low_250d,82,5.341463414634147
dist_to_low_60d,76,4.855263157894737
downside_vol_5d,76,10.776315789473685
downside_vol_20d,72,6.25
trend_consistency_60d,67,7.462686567164179
atr_pct_14d,65,8.984615384615385
downside_vol_10d,65,9.03076923076923
dist_to_low_120d,64,6.078125
gap_risk_20d,64,11.390625
volume_ratio_60d,62,11.774193548387096
high_low_range_20d,60,10.283333333333333
ma_gap_60d,59,13.966101694915254
ma_slope_60d,58,9.086206896551724
intraday_range,58,12.344827586206897
downside_vol_60d,56,12.071428571428571
atr_14d,50,10.4
turnover_ratio_20d,50,13.1
ma_slope_5d,42,7.119047619047619
ma_gap_120d,41,13.24390243902439
ret_60d,40,5.75
momentum_accel_5_20,39,15.307692307692308
vol_percentile_20d_252d,37,8.135135135135135
volatility_60d,34,7.323529411764706
trend_consistency_20d,34,10.911764705882353
ma_slope_20d,33,11.727272727272727
dist_to_high_250d,33,12.484848484848484
max_drawdown_10d,33,17.09090909090909
ma_slope_120d,32,13.65625
realized_vol_60d,29,7.172413793103448
vol_percentile_10d_252d,29,9.89655172413793
max_drawdown_5d,29,10.724137931034482
kdj_j,29,14.862068965517242
lower_shadow_pct,28,16.107142857142858
ret_120d,27,11.25925925925926
vol_percentile_5d_252d,26,13.653846153846153
kdj_k,26,13.73076923076923
realized_vol_20d,25,12.64
price_volume_divergence_20d,25,15.0
volatility_10d,24,11.75
dist_to_low_20d,24,12.833333333333334
short_reversal_5d,24,14.708333333333334
rsi_6d,23,10.91304347826087
volatility_5d,23,12.608695652173912
momentum_accel_20_60,23,15.782608695652174
log_ret_60d,21,8.285714285714286
log_ret_120d,21,12.333333333333334
volatility_20d,20,10.05
max_drawdown_20d,20,11.2
macd_dea,20,16.55
realized_vol_10d,19,10.894736842105264
upper_shadow_pct,18,12.88888888888889
dist_to_high_20d,18,13.777777777777779
realized_vol_5d,17,12.764705882352942
log_ret_20d,16,15.1875
ma_gap_20d,15,15.6
ret_5d,13,12.692307692307692
volume_ratio_5d,12,7.666666666666667
log_ret_5d,12,13.666666666666666
macd_hist,11,15.454545454545455
max_drawdown_60d,10,17.7
ma_slope_10d,9,16.88888888888889
log_ret_1d,8,15.0
ret_20d,7,11.142857142857142
intraday_strength,7,13.571428571428571
gap_return,7,18.0
ma_gap_5d,7,18.714285714285715
limit_up_20d_count,6,17.666666666666668
macd_dif,5,12.6
amount_chg_5d,5,18.6
gap_abs,5,18.8
turnover_chg_5d,4,10.75
dist_to_high_120d,4,12.5
dist_to_high_60d,3,17.333333333333332
consecutive_down_days,3,18.0
kdj_d,2,17.0
close_zscore_60d,2,18.5
amount_ratio_60d,1,10.0
amount_ratio_20d,1,12.0
ma_gap_10d,1,14.0
rsi_14d,1,20.0
