label,non_null,positive_rate,mean,p05,p95
y_ret_1d,2043,0.4723445912873226,0.0006508978063658533,-0.0520754760432828,0.060611635646687326
y_up_1d,2043,0.4723445912873226,0.4723445912873226,0.0,1.0
y_up_after_cost_1d,2043,0.4390602055800294,0.4390602055800294,0.0,1.0
future_mdd_1d,2043,,-0.012158169530111715,-0.05074278150833806,0.0
future_vol_1d,2043,,0.0,0.0,0.0
future_mfe_1d,2043,,0.001284822584527173,-0.05074278150833806,0.0624862030905077
future_mae_1d,2043,,0.001284822584527173,-0.05074278150833806,0.0624862030905077
y_good_trade_1d,2043,0.4390602055800294,0.4390602055800294,0.0,1.0
y_bad_trade_1d,2043,0.49241311796377873,0.49241311796377873,0.0,1.0
y_trend_continue_1d,2043,0.33284385707293196,0.33284385707293196,0.0,1.0
y_stop_loss_hit_1d,2043,0.007342143906020558,0.007342143906020558,0.0,0.0
y_take_profit_before_stop_1d,2043,0.0019579050416054823,0.0019579050416054823,0.0,0.0
y_large_drawdown_1d,2043,0.21536955457660303,0.21536955457660303,0.0,1.0
y_high_vol_next_1d,2043,0.0,0.0,0.0,0.0
y_risk_event_1d,2043,0.21536955457660303,0.21536955457660303,0.0,1.0
y_limit_down_next_1d,2043,0.0,0.0,0.0,0.0
y_untradable_next_1d,2043,0.0,0.0,0.0,0.0
y_gap_down_next_1d,2043,0.01908957415565345,0.01908957415565345,0.0,0.0
y_ret_3d,2041,0.4953454189122979,0.001842416292914649,-0.09069415466146713,0.10055004532242799
y_up_3d,2041,0.4953454189122979,0.4953454189122979,0.0,1.0
y_up_after_cost_3d,2041,0.48358647721705045,0.48358647721705045,0.0,1.0
future_mdd_3d,2041,,-0.03463580241149872,-0.0999620637329286,0.0
future_vol_3d,2041,,0.023770980181806185,0.005242687381206085,0.05592030266279344
future_mfe_3d,2041,,0.0245036994841475,-0.037375415282391966,0.11199675763307226
future_mae_3d,2041,,-0.019508423300576942,-0.09426551453260024,0.04654819940242172
y_good_trade_3d,2041,0.3625673689367957,0.3625673689367957,0.0,1.0
y_bad_trade_3d,2041,0.5639392454679079,0.5639392454679079,0.0,1.0
y_trend_continue_3d,2041,0.45369916707496327,0.45369916707496327,0.0,1.0
y_stop_loss_hit_3d,2041,0.043606075453209214,0.043606075453209214,0.0,0.0
y_take_profit_before_stop_3d,2041,0.014698677119059285,0.014698677119059285,0.0,0.0
y_large_drawdown_3d,2041,0.5938265556099951,0.5938265556099951,0.0,1.0
y_high_vol_next_3d,2041,0.19500244977951983,0.19500244977951983,0.0,1.0
y_risk_event_3d,2041,0.6320431161195492,0.6320431161195492,0.0,1.0
y_limit_down_next_3d,2041,0.0,0.0,0.0,0.0
y_untradable_next_3d,2041,0.0,0.0,0.0,0.0
y_gap_down_next_3d,2041,0.053405193532582065,0.053405193532582065,0.0,1.0
y_ret_5d,2039,0.49877390877881317,0.003139498928052555,-0.12564567374994917,0.13338667708294
y_up_5d,2039,0.49877390877881317,0.49877390877881317,0.0,1.0
y_up_after_cost_5d,2039,0.48749386954389407,0.48749386954389407,0.0,1.0
future_mdd_5d,2039,,-0.052187971499090734,-0.13890251696133904,-0.004072398190045234
future_vol_5d,2039,,0.027587256159634248,0.009103109315664437,0.056613078146453895
future_mfe_5d,2039,,0.040339344815448534,-0.03327082750944239,0.15611887283921375
future_mae_5d,2039,,-0.03238813636733871,-0.12971327143128028,0.037927177284657596
