portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,section,horizon,observations,pearson_ic,spearman_ic,rmse,direction_accuracy,prob_accuracy
strategy,-0.012210024042341505,-0.0015134646371377514,0.1734406190870713,-0.008726125662512518,-0.008468353890341259,-0.00288012720583255,-0.5254853445614596,0.39765319426336376,1.5515655481564068,279.0,3.419512195121951,113.5,-0.08307264511644075,9.0,-0.9720101032680729,-2.323685433878423,backtest,,,,,,,
strategy_before_cost,0.14472236288836315,0.016803440171663908,0.17352696992806707,0.09683474666001207,0.09167923756453401,0.03498159977252548,-0.4803508210296693,0.443001443001443,1.3310051558060694,279.0,3.419512195121951,113.5,-0.08307264511644075,8.0,,-2.1667530469477185,backtest,,,,,,,
buy_hold_300316,2.3114754098360817,0.1590768823690032,0.5788986536988933,0.27479228247047366,0.4589658449948599,0.21293836497906482,-0.7470559961547697,0.4792490118577075,1.1957724626437949,,,,-0.16675690308608548,9.0,,0.0,backtest,,,,,,,
cash,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,-2.3114754098360817,backtest,,,,,,,
,,,,,,,,,,,,,,,,,model,1.0,1287.0,0.008915642725365998,0.029457182293518784,0.03372527525625889,0.48329448329448327,0.4902874902874903
,,,,,,,,,,,,,,,,,model,3.0,1285.0,0.06988452141725394,0.08620566832997235,0.061852835839090105,0.5089494163424124,0.511284046692607
,,,,,,,,,,,,,,,,,model,5.0,1283.0,0.057417065184132775,0.10045111078378981,0.08279253769354725,0.5113016367887763,0.5066250974279034
,,,,,,,,,,,,,,,,,model,10.0,1278.0,0.08159031962789222,0.15799902289601464,0.12203000652042352,0.5453834115805947,0.5375586854460094
,,,,,,,,,,,,,,,,,model,20.0,1268.0,0.10344911112267943,0.14385735385344456,0.1886668794473068,0.5630914826498423,0.5646687697160884
,,,,,,,,,,,,,,,,,model,60.0,1228.0,0.11010931298299208,0.14172123191644426,0.2949672117319637,0.5822475570032574,0.499185667752443
