task,bin,mean_prob,event_rate,count
good_trade_20d,1,0.1797807561367907,0.17716535433070865,254
good_trade_20d,2,0.3990271240901094,0.31620553359683795,253
good_trade_20d,3,0.584347122823711,0.38188976377952755,254
good_trade_20d,4,0.8151543524851343,0.33201581027667987,253
good_trade_20d,5,0.9242184206590337,0.40551181102362205,254
bad_trade_proxy_20d,1,0.1797807561367907,0.5748031496062992,254
bad_trade_proxy_20d,2,0.3990271240901094,0.49407114624505927,253
bad_trade_proxy_20d,3,0.584347122823711,0.5118110236220472,254
bad_trade_proxy_20d,4,0.8151543524851343,0.25296442687747034,253
bad_trade_proxy_20d,5,0.9242184206590337,0.15748031496062992,254
up_after_cost_20d,1,0.1797807561367907,0.33858267716535434,254
up_after_cost_20d,2,0.3990271240901094,0.4743083003952569,253
up_after_cost_20d,3,0.584347122823711,0.5275590551181102,254
up_after_cost_20d,4,0.8151543524851343,0.525691699604743,253
up_after_cost_20d,5,0.9242184206590337,0.5826771653543307,254
