date,close,pred_ret_5d,pred_ret_20d,prob_up_5d,prob_up_20d,pred_excess_ret_5d,risk_score,trend_score,volume_score,relative_strength_score,fundamental_score,event_score,signal_score,signal_label,target_position,stop_loss_reference,take_profit_reference,invalidation_condition,reason,risk_warning,current_position,max_position_allowed,action,action_reason,data_quality_flag,manual_review_required,next_trade_date,trailing_stop_reference,meta_model_prob_good_trade_20d,meta_model_prob_bad_trade_20d,model_score,pred_excess_ret_20d,expected_mfe_20d,expected_mae_20d
2018-01-02,14.06,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,12.654,15.747200000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-03,12.654,,,,,,
2018-01-03,14.03,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,12.626999999999999,15.713600000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-04,12.626999999999999,,,,,,
2018-01-04,14.03,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,12.626999999999999,15.713600000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-05,12.626999999999999,,,,,,
2018-01-05,13.03,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,11.727,14.5936,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-08,11.727,,,,,,
2018-01-08,12.98,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,11.682,14.537600000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-09,11.682,,,,,,
2018-01-09,12.91,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,11.619,14.459200000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-10,11.619,,,,,,
2018-01-10,12.13,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,10.917000000000002,13.585600000000003,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-11,10.917000000000002,,,,,,
2018-01-11,12.21,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,10.989,13.675200000000002,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-12,10.989,,,,,,
2018-01-12,12.21,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,10.989,13.675200000000002,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-15,10.989,,,,,,
2018-01-15,12.23,,,,,,0.5,0.5,0.5,0.5,0.5,1.0,,no_trade,0.0,11.007000000000001,13.697600000000001,"close below stop reference, risk_score above 0.9, or signal flips to reduce/risk_off",walk-forward prediction unavailable,data insufficient for model signal,0.0,1.0,no_trade,walk-forward prediction unavailable,missing_external_data,True,2018-01-16,11.007000000000001,,,,,,
